year,avg_temp
1743,1.32
1744,6.09
1745,-2.15
1746,
1747,
1748,
1749,
1750,5.40
1751,5.54
1752,0.53
1753,4.61
1754,4.33
1755,4.05
1756,4.64
1757,4.30
1758,3.83
1759,4.89
1760,5.02
1761,4.94
1762,4.49
1763,4.25
1764,4.82
1765,4.52
1766,4.28
1767,3.85
1768,3.84
1769,4.43
1770,4.36
1771,4.19
1772,5.81
1773,4.76
1774,4.43
1775,5.03
1776,4.21
1777,4.28
1778,5.21
1779,5.53
1780,4.71
1781,5.48
1782,3.96
1783,5.22
1784,3.67
1785,3.35
1786,3.71
1787,4.83
1788,4.69
1789,4.26
1790,4.91
1791,5.09
1792,4.77
1793,5.06
1794,5.54
1795,4.59
1796,4.65
1797,5.55
1798,4.81
1799,3.26
1800,5.02
1801,5.31
1802,5.07
1803,4.20
1804,4.80
1805,3.09
1806,5.40
1807,5.05
1808,3.58
1809,4.61
1810,4.72
1811,5.70
1812,3.39
1813,3.87
1814,3.46
1815,4.01
1816,2.96
1817,4.21
1818,4.66
1819,4.97
1820,3.88
1821,4.59
1822,5.85
1823,4.22
1824,4.89
1825,5.07
1826,4.81
1827,4.71
1828,5.02
1829,2.79
1830,3.90
1831,4.82
1832,4.25
1833,4.45
1834,5.72
1835,4.07
1836,4.40
1837,3.68
1838,3.29
1839,4.66
1840,3.66
1841,5.16
1842,4.09
1843,4.48
1844,4.03
1845,3.73
1846,5.54
1847,3.90
1848,4.61
1849,4.37
1850,3.84
1851,3.66
1852,5.02
1853,3.69
1854,4.08
1855,3.52
1856,4.30
1857,4.41
1858,3.63
1859,5.07
1860,3.41
1861,4.62
1862,5.39
1863,5.35
1864,3.26
1865,4.75
1866,5.01
1867,4.44
1868,5.54
1869,4.69
1870,3.57
1871,3.53
1872,5.51
1873,4.77
1874,4.18
1875,3.96
1876,4.64
1877,4.79
1878,4.26
1879,3.53
1880,4.74
1881,4.24
1882,4.58
1883,4.16
1884,4.67
1885,4.47
1886,4.61
1887,3.41
1888,3.69
1889,3.72
1890,3.67
1891,3.70
1892,4.45
1893,4.44
1894,4.52
1895,4.00
1896,3.84
1897,4.67
1898,5.13
1899,4.72
1900,5.00
1901,4.01
1902,4.24
1903,4.57
1904,5.07
1905,4.31
1906,4.48
1907,4.38
1908,3.98
1909,3.75
1910,4.47
1911,5.22
1912,4.13
1913,4.66
1914,4.43
1915,4.39
1916,4.90
1917,3.91
1918,4.75
1919,3.85
1920,5.29
1921,5.48
1922,3.93
1923,4.88
1924,4.11
1925,4.42
1926,5.11
1927,4.86
1928,5.19
1929,4.13
1930,5.24
1931,3.88
1932,4.61
1933,3.88
1934,5.59
1935,4.57
1936,4.88
1937,5.20
1938,4.82
1939,4.49
1940,3.45
1941,3.80
1942,4.28
1943,5.56
1944,4.28
1945,5.20
1946,5.14
1947,5.51
1948,5.49
1949,5.55
1950,5.44
1951,5.29
1952,4.67
1953,5.22
1954,4.27
1955,4.39
1956,3.58
1957,5.11
1958,4.93
1959,5.51
1960,4.97
1961,5.85
1962,3.94
1963,3.99
1964,4.92
1965,4.08
1966,5.10
1967,5.18
1968,4.68
1969,4.42
1970,4.41
1971,4.86
1972,4.69
1973,4.57
1974,5.23
1975,5.20
1976,4.95
1977,5.32
1978,4.32
1979,4.87
1980,4.19
1981,4.82
1982,5.51
1983,5.60
1984,4.43
1985,4.52
1986,4.85
1987,4.69
1988,5.64
1989,5.88
1990,5.92
1991,4.93
1992,5.91
1993,5.33
1994,6.64
1995,5.33
1996,4.49
1997,5.79
1998,5.66
1999,5.55
2000,6.33
2001,5.59
2002,6.26
2003,6.12
2004,5.43
2005,5.01
2006,5.94
2007,6.28
2008,5.94
2009,5.89
2010,4.85
2011,6.56
2012,5.88
2013,6.00
