year,avg_temp
1950,5.44
1951,5.29
1952,4.67
1953,5.22
1954,4.27
1955,4.39
1956,3.58
1957,5.11
1958,4.93
1959,5.51
1960,4.97
1961,5.85
1962,3.94
1963,3.99
1964,4.92
1965,4.08
1966,5.10
1967,5.18
1968,4.68
1969,4.42
1970,4.41
1971,4.86
1972,4.69
1973,4.57
1974,5.23
1975,5.20
1976,4.95
1977,5.32
1978,4.32
1979,4.87
1980,4.19
1981,4.82
1982,5.51
1983,5.60
1984,4.43
1985,4.52
1986,4.85
1987,4.69
1988,5.64
1989,5.88
1990,5.92
1991,4.93
1992,5.91
1993,5.33
1994,6.64
1995,5.33
1996,4.49
1997,5.79
1998,5.66
1999,5.55
2000,6.33
2001,5.59
2002,6.26
2003,6.12
2004,5.43
2005,5.01
2006,5.94
2007,6.28
2008,5.94
2009,5.89
2010,4.85
2011,6.56
2012,5.88
2013,6.00
